Level 5	Level 4	Level 3	Level 2	Level 1	Level 5	Level 4	Level 3	Level 2	Level 1	
145	HypoThalamus_F_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	HypoThalamus_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L
146	HypoThalamus_F_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	HypoThalamus_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R
147	HypoThalamus_G_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	HypoThalamus_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L
148	HypoThalamus_G_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	HypoThalamus_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R
149	LVL_frontalLeft	LVL_frontalLeft	VentricleLeft	Ventricle	Ventricle	LVL_frontalLeft	LVL_frontalLeft	VentricleLeft	Ventricle	Ventricle
150	LVL_frontalRight	LVL_frontalRight	VentricleRight	Ventricle	Ventricle	LVL_frontalRight	LVL_frontalRight	VentricleRight	Ventricle	Ventricle
151	LVL_bodyLeft	LVL_bodyLeft	VentricleLeft	Ventricle	Ventricle	LVL_bodyLeft	LVL_bodyLeft	VentricleLeft	Ventricle	Ventricle
152	LVL_bodyRight	LVL_bodyRight	VentricleRight	Ventricle	Ventricle	LVL_bodyRight	LVL_bodyRight	VentricleRight	Ventricle	Ventricle
153	LVL_atriumLeft	LVL_atriumLeft	VentricleLeft	Ventricle	Ventricle	LVL_atriumLeft	LVL_atriumLeft	VentricleLeft	Ventricle	Ventricle
154	LVL_atriumRight	LVL_atriumRight	VentricleRight	Ventricle	Ventricle	LVL_atriumRight	LVL_atriumRight	VentricleRight	Ventricle	Ventricle
